ticker,earningsPriceChanges,averagePriceChange
CSTE,"[-0.074, -0.101, 0.046, 0.002, -0.039, 0.03, -0.186, -0.184, 0.101, 0.087, -0.043]",8.118%
DOLE,"[0.016, 0.037, 0.061, -0.074, 0.02, 0.084, -0.022, 0.063, -0.017, -0.11, 0.056, -0.026]",4.883%
ENLT,"[0.009, 0.044, -0.043, -0.011, -0.031, 0.028, -0.006, -0.023, -0.022, -0.019, 0, 0]",1.967%
GFF,"[-0.201, 0.073, 0.128, -0.062, -0.027, 0.025, 0.038, -0.011, 0.06, 0.07, -0.007, -0.097]",6.658%
GILT,"[0.082, -0.002, -0.052, -0.064, 0.114, 0.022, 0.05, 0.038, -0.038, 0.013, 0.086]",5.1%
HBM,"[-0.011, 0.142, 0.043, -0.033, -0.014, -0.023, -0.035, 0.084, 0.038, -0.031, -0.039]",4.482%
JHX,"[-0.007, -0.153, -0.128, 0.156, 0.145, 0.07, -0.073, -0.104, -0.001, -0.017]",8.54%
PET,"[0, 0.061, 0.068, -0.034, -0.057, 0.008, 0.126, -0.033, -0.155]",6.022%
PYPD,"[-0.02, -0.113, -0.082, -0.014, -0.118, -0.024, -0.128, -0.096, 0.028, -0.028, 0.052, -0.075]",6.483%
RSKD,"[-0.228, 0.153, 0.098, -0.064, 0.12, 0.17, -0.062, 0.249, 0.02, 0.183, -0.093, -0.27]",14.25%
SPMC,[0.007],0.7%
STRR,"[-0.027, 0.032, 0.034, -0.019, -0.057, -0.007, 0.164, -0.143, 0.063, -0.008, -0.069, -0.084]",5.892%
VERO,"[0.046, 0.029, -0.005, 0.042, -0.243, -0.043, 0.035, -0.119, 0.223, 0.029, -0.089, -0.024]",7.725%
XFOR,"[-0.092, 0.284, 0.068, -0.36, 0.041, 0.011, -0.036, -0.016, -0.01, -0.106, -0.08, -0.046]",9.583%
BEEP,"[-0.048, 0.014, -0.019, 0.002]",2.075%
BETR,"[-0.187, -0.063, -0.087, -0.078, -0.143]",11.16%
CAAS,"[0.053, 0.007, 0.053, -0.014, -0.034, -0.048, -0.196, 0.123, 0.024, 0, -0.03]",5.291%
DALN,"[0.396, 0.054, 0, -0.008, -0.02, -0.021, -0.025, -0.045, 0.009, -0.041, 0.034]",5.936%
EDBL,"[0.102, 0.157, 0.092, -0.162, 0.278, -0.012, -0.318, 0.067, 0.009, 0.193]",13.9%
IVFH,"[-0.069, 0, 0.02, 0.186, 0.02, 0.024, 0.057, 0.053, 0, -0.097, 0.2, 0]",6.05%
SNDA,"[-0.012, -0.022, -0.102, -0.009, -0.028, 0.024, -0.351, -0.016, 0.043, -0.01, 0.009, -0.019]",5.375%
CSCO,"[0.068, -0.027, -0.024, -0.098, 0.033, 0.012, 0.053, 0.05, 0.058, -0.137, 0.028, -0.055]",5.358%
DLO,"[0.035, -0.264, -0.175, -0.076, 0.319, 0.014, -0.263, -0.059, -0.139, 0.153, 0.109, -0.257]",15.525%
BZH,"[-0.127, -0.042, -0.079, -0.102, 0.277, 0.24, -0.11, 0.036, -0.036, -0.021, -0.021]",9.918%
KULR,"[-0.192, -0.213, -0.275, 0.167, -0.259, -0.143, -0.044, 0.172, 0.061, -0.008, 0.017, -0.053]",13.367%
BNGO,"[-0.07, 0.065, 0.017, -0.022, -0.034, 0.05, -0.04, 0.004, 0.026, -0.071, 0.005]",3.673%
CAPR,"[0.09, -0.044, 0.086, 0.066, 0.217, -0.019, 0.02, -0.071, 0.168, -0.09, 0.015]",8.055%
OPRX,"[-0.053, 0.257, -0.035, 0.153, -0.278, -0.055, -0.116, 0.224, -0.3, -0.065, 0.052, -0.0]",13.233%
KBDC,[0.004],0.4%
KORE,"[-0.192, -0.003, 0.066, -0.147, -0.3, -0.008, 0.032, 0, 0.255, 0.156, 0.114, -0.046]",10.992%
QMCO,"[-0.064, -0.503, 0.026, 0.002, -0.308, -0.028, -0.072, -0.045, -0.046, -0.028, -0.39]",13.745%
SMSI,"[-0.202, -0.045, -0.405, -0.292, 0.136, -0.072, -0.104, 0.043, -0.23, -0.113, -0.155, 0.037]",15.283%
TTEK,"[0.09, 0.061, 0.038, 0.035, -0.009, 0.019, -0.004, 0.156, -0.015, -0.062, 0.043, 0.023]",4.625%
VXRT,"[0.049, -0.018, 0.045, 0.027, 0.012, 0.039, -0.094, -0.009, 0.019, 0.026, -0.03, 0.007]",3.125%
ALVO,"[0.087, 0.004, -0.011, -0.041, 0.017, 0.006, 0.008, 0.043, -0.143]",4.0%
ATEX,"[-0.023, 0.17, 0.218, 0.093, 0.066, 0.061, -0.018, -0.044, 0.02, 0.009, 0.022]",6.764%
BOXL,"[-0.039, 0.107, -0.174, -0.33, -0.027, -0.118, -0.154, -0.062, 0.073, 0.112, 0.029]",11.136%
BV,"[0.072, 0.113, -0.01, -0.067, -0.014, 0.166, -0.218, -0.128, -0.117, 0, -0.059, -0.099]",8.858%
DGII,"[0.189, -0.17, 0.139, -0.079, -0.146, 0.11, 0.044, 0.077, 0.157, 0.017, -0.07]",10.891%
DMAC,"[0.031, -0.063, -0.018, 0.068, 0.042, -0.111, -0.033, -0.016, 0.098, 0.028, -0.004]",4.655%
ECOR,"[-0.013, -0.054, -0.056, 0.028, -0.088, -0.05, 0.096, -0.238, -0.075, -0.031, 0.057]",7.145%
GOEV,"[0.092, -0.05, -0.276, 0.008, -0.049, 0.033, 0.047, 0.034, -0.135, -0.227, -0.047, 0.237]",10.292%
GWH,"[-0.131, -0.15, -0.05, -0.094, -0.046, 0.088, 0.037, -0.084, 0.184, 0.21, -0.009, -0.018]",9.175%
HI,"[-0.042, -0.132, -0.048, -0.037, -0.053, -0.042, -0.036, 0.08, -0.002, -0.04, 0.001, 0.008]",4.342%
HROW,"[0.543, 0.345, -0.012, -0.36, -0.155, -0.186, 0.068, -0.046, 0.099, 0.064, 0.034]",17.382%
IBTA,"[-0.267, -0.073]",17.0%
IDN,"[-0.284, 0.017, 0.749, -0.145, -0.03, -0.034, 0.122, -0.139, 0.02, -0.006, -0.19]",15.782%
JJSF,"[0.063, 0.164, -0.07, 0.047, 0.063, 0.022, -0.039, 0.098, 0.017, -0.097, -0.017, -0.032]",6.075%
KLIC,"[0.031, 0.037, -0.096, 0.047, -0.014, -0.038, 0.087, 0.028, 0.032, -0.014, -0.027, -0.028]",3.992%
KRMD,"[0.164, 0.058, 0.033, -0.073, 0.042, -0.012, -0.105, 0.169, 0.027, -0.079, -0.05]",7.382%
LVLU,"[-0.016, 0.163, -0.06, -0.095, -0.069, 0.05, 0.181, -0.122, -0.138, 0.149, 0.143, 0.012]",9.983%
MPTI,"[0.111, -0.002, -0.238, 0.125, 0.288, 0.075, -0.026]",12.357%
NN,"[0.02, -0.037, -0.243, -0.006, 0.128, 0.223, -0.085, 0.05, 0.147, 0.031, -0.018, -0.017]",8.375%
OTRK,"[-0.062, -0.103, -0.206, -0.022, -0.08, 0.037, -0.127, 0.1, 0.02, 0.218, -0.15]",10.227%
OWLT,"[0.077, -0.079, -0.1, -0.076, -0.024, -0.007, 0.061, -0.079, 0, 0.102, -0.109, 0.028]",6.183%
SB,"[-0.059, -0.03, 0.015, 0.01, -0.032, -0.021, -0.02, 0.046, 0.042, -0.034, -0.034, -0.052]",3.292%
SONO,"[-0.016, -0.042, 0.171, 0.171, -0.064, -0.237, 0.165, 0.03, -0.249, 0.143, 0.045, -0.012]",11.208%
TARS,"[0.137, -0.089, 0.183, 0.122, -0.011, 0.038, 0.008, -0.014, 0.068, -0.037, 0.01, 0.019]",6.133%
XOS,"[0.142, 0.026, 0.309, -0.119, -0.053, -0.009, -0.045, -0.035, -0.037, 0.029, -0.091]",8.136%
CVV,"[-0.032, -0.101, 0.045, -0.007, -0.017, -0.265, -0.096, -0.068, -0.105, 0.017, 0.018, -0.106]",7.308%
ICAD,"[0.029, 0.086, 0.04, -0.07, -0.012, -0.088, 0.058, 0.011, -0.12, 0.086, -0.056]",5.964%
ICCC,"[-0.043, -0.109, 0.016, 0.019, -0.004, -0.065, -0.068, -0.003, -0.069, 0.04, 0.014, -0.011]",3.842%
JSDA,"[-0.022, 0.37, -0.04, -0.059, 0, -0.045, 0.048, -0.095, 0.049, -0.043, 0.073]",7.673%
LPA,[-0.007],0.7%
OXBR,"[-0.044, -0.156, -0.028, 0.055, -0.179, -0.053, -0.054, -0.026, -0.02, 0.018, -0.213, 0.118]",8.033%
PVCT,[],0.0%
SPRU,"[-0.081, 0.008, 0.016, 0.113, -0.062, 0.061, -0.001, 0.076, -0.021, -0.097, 0.174, 0.004]",5.95%
SSKN,"[-0.007, -0.09, -0.151, 0.156, -0.273, -0.029, -0.067, 0.019, -0.045, 0.038, -0.03, -0.045]",7.917%
TOI,"[-0.182, -0.244, -0.141, 0.277, -0.02, -0.02, -0.2, -0.052, 0.1, -0.147, 0.103]",13.509%
WKSP,"[-0.016, 0.206, -0.108]",11.0%
DIS,"[-0.045, -0.095, 0.115, 0.069, 0.049, -0.087, -0.013, -0.132, 0.047, -0.009, 0.033]",6.309%
LUNR,"[-0.013, -0.061, 0.113, -0.039, -0.155, -0.012]",6.55%
JD,"[0.042, 0.019, 0.162, 0.07, -0.03, 0.072, -0.113, -0.025, 0.034, 0.041, -0.158, 0.06]",6.883%
NICE,"[0.046, -0.129, 0.087, 0.09, -0.076, -0.056, -0.025, 0.202, -0.018, 0.041, -0.086]",7.782%
AAP,"[-0.175, -0.11, 0.026, -0.047, 0.031, -0.35, 0.031, -0.151, -0.096, -0.016, -0.007, -0.026]",8.883%
